ibse_factor_vinculo,ibse_factor_situacion,ibse_factor_control,ibse_factor_persona,ibse_total,monitor_ibse_complete
62.5,75,25,50,53.125,2
75,75,62.5,62.5,68.75,2
50,50,50,0,37.5,2
50,75,62.5,75,65.625,2
50,50,62.5,37.5,50,2
25,50,50,37.5,40.625,2
75,75,50,87.5,71.875,2
,,,,,2
75,87.5,75,75,78.125,2
62.5,62.5,75,50,62.5,2
50,62.5,62.5,50,56.25,2
37.5,62.5,75,50,56.25,2
50,50,50,75,56.25,2
50,50,75,50,56.25,2
25,50,37.5,37.5,37.5,2
37.5,62.5,50,50,50,2
75,50,37.5,37.5,50,2
62.5,75,75,75,71.875,2
62.5,37.5,50,50,50,0
37.5,62.5,50,50,50,2
62.5,87.5,87.5,50,71.875,2
25,62.5,50,25,40.625,2
50,75,62.5,25,53.125,2
75,50,50,62.5,59.375,2
62.5,62.5,37.5,75,59.375,2
50,50,62.5,50,53.125,2
37.5,62.5,75,75,62.5,2
50,75,50,75,62.5,2
,,,,,2
37.5,62.5,62.5,50,53.125,2
62.5,100,75,87.5,81.25,2
37.5,62.5,25,37.5,40.625,2
37.5,62.5,62.5,75,59.375,2
75,75,87.5,75,78.125,2
62.5,62.5,62.5,50,59.375,2
62.5,75,37.5,62.5,59.375,2
12.5,62.5,50,50,43.75,2
75,50,62.5,37.5,56.25,2
75,62.5,50,62.5,62.5,2
37.5,75,62.5,37.5,53.125,2
,,,,,2
50,75,50,25,50,2
12.5,50,50,62.5,43.75,2
62.5,50,62.5,37.5,53.125,0
25,50,50,37.5,40.625,2
50,75,62.5,75,65.625,2
75,75,62.5,87.5,75,2
50,50,25,37.5,40.625,2
75,62.5,100,87.5,81.25,2
62.5,75,,75,,2
37.5,50,50,75,53.125,2
50,87.5,62.5,75,68.75,2
62.5,62.5,62.5,50,59.375,2
62.5,50,25,75,53.125,2
62.5,50,25,62.5,50,2
37.5,62.5,50,62.5,53.125,2
50,62.5,50,62.5,56.25,2
50,75,50,62.5,59.375,0
50,75,50,62.5,59.375,2
75,75,50,62.5,65.625,2
37.5,50,50,50,46.875,0
62.5,87.5,75,75,75,2
50,50,50,50,50,2
62.5,75,62.5,62.5,65.625,2
75,62.5,75,87.5,75,2
50,87.5,62.5,62.5,65.625,2
75,100,100,62.5,84.375,2
12.5,75,,12.5,,2
75,62.5,75,50,65.625,2
75,75,75,50,68.75,2
37.5,50,25,25,34.375,2
37.5,62.5,37.5,50,46.875,2
62.5,75,62.5,12.5,53.125,2
75,50,75,62.5,65.625,2
50,75,62.5,75,65.625,2
62.5,62.5,50,50,56.25,2
62.5,62.5,50,75,62.5,2
75,50,75,62.5,65.625,2
50,100,87.5,87.5,81.25,2
62.5,75,75,62.5,68.75,2
75,50,62.5,75,65.625,2
62.5,50,37.5,62.5,53.125,2
75,87.5,62.5,75,75,2
62.5,62.5,37.5,87.5,62.5,2
37.5,50,50,62.5,50,2
37.5,62.5,50,37.5,46.875,2
75,75,100,100,87.5,0
37.5,50,37.5,50,43.75,2
75,75,62.5,62.5,68.75,2
50,50,50,25,43.75,2
50,62.5,62.5,37.5,53.125,2
62.5,75,75,87.5,75,2
62.5,50,50,50,53.125,2
,,,,,2
62.5,100,100,75,84.375,2
37.5,50,25,50,40.625,2
75,87.5,75,100,84.375,2
